Name,Frame,Atribute,Type,Level,ATK,DEF,Icon,Rarity,Set,Text,Simple Frame,Number
Magician of Faith,Effect Monster,LIGHT  ,Spellcaster/Flip/Effect,1,300,400,N/A,UR,Attack from the Deep,FLIP: Target 1 Spell in your GY (comma) add that target to your hand.,Monster,SBAD-EN001
Apprentice Magician,Effect Monster,DARK  ,Spellcaster/Effect,2,400,800,N/A,SR,Attack from the Deep,If this card is Summoned: Target 1 face-up card on the field that you can place a Spell Counter on(comma) place 1 Spell Counter on that target. If this card is destroyed by battle: You can Special Summon 1 Level 2 or lower Spellcaster monster from your Deck in face-down Defense Position.,Monster,SBAD-EN002
Magical Undertaker,Effect Monster,DARK  ,Spellcaster/Flip/Effect,2,400,400,N/A,Comm,Attack from the Deep,FLIP: You can target 1 Level 4 or lower Spellcaster monster in your GY(comma) Special Summon that target.,Monster,SBAD-EN004
Blade Knight,Effect Monster,LIGHT  ,Warrior/Effect,4,1600,1000,N/A,UR,Attack from the Deep,Gains 400 ATK while you have 1 or less cards in your hand. If you control no other monsters(comma) the effects of Flip monsters destroyed by battle with this card are negated.,Monster,SBAD-EN006
Dweller in the Depths,Effect Monster,EARTH  ,Dragon/Effect,3,1500,700,N/A,Comm,Attack from the Deep,Gains 300 ATK for each Continuous Spell in your Spell & Trap Zone.,Monster,SBAD-EN007
Gilford the Lightning,Effect Monster,LIGHT  ,Warrior/Effect,8,2800,1400,N/A,UR,Attack from the Deep,You can Tribute 3 monsters to Tribute Summon (but not Set) this card. If Summoned this way: Destroy all monsters your opponent controls.,Monster,SBAD-EN008
Sonic Bird,Effect Monster,WIND  ,Winged Beast/Effect,4,1400,1000,N/A,UR,Attack from the Deep,When this card is Normal or Flip Summoned: You can add 1 Ritual Spell from your Deck to your hand.,Monster,SBAD-EN011
Great Phantom Thief,Effect Monster,EARTH  ,Spellcaster/Effect,3,1000,1000,N/A,Comm,Attack from the Deep,If this card inflicts battle damage to your opponent: Declare 1 card name(comma) look at your opponent's hand(comma) and if you do(comma) discard all cards with that name in their hand.,Monster,SBAD-EN012
Djinn Disserere of Rituals,Effect Monster,DARK  ,Fiend/Effect,1,200,200,N/A,Comm,Attack from the Deep,When you Ritual Summon a monster(comma) you can banish this card from your GY as 1 of the monsters required for the Ritual Summon. The monster Ritual Summoned using this card is unaffected by Trap effects.,Monster,SBAD-EN013
Amazoness Trainee,Effect Monster,EARTH  ,Warrior/Effect,4,1500,1300,N/A,Comm,Attack from the Deep,Monsters destroyed by battle with this card are returned to the bottom of the Deck instead of going to the GY. If this card destroys an opponent's monster by battle: It gains 200 ATK.,Monster,SBAD-EN015
Zombina,Effect Monster,EARTH  ,Zombie/Effect,4,1400,1500,N/A,SR,Attack from the Deep,"If this card in its owner's possession is destroyed by an opponent's card: You can target 1 Level 4 or lower monster in your GY(comma) except ""Zombina""(comma) Special Summon it.",Monster,SBAD-EN017
Goblin Zombie,Effect Monster,DARK  ,Zombie/Effect,4,1100,1050,N/A,Comm,Attack from the Deep,If this card inflicts battle damage to your opponent: Send the top card of their Deck to the GY. If this card is sent from the field to the GY: Add 1 Zombie monster with 1200 or less DEF from your Deck to your hand.,Monster,SBAD-EN018
The Legendary Fisherman,Effect Monster,WATER  ,Warrior/Effect,5,1850,1600,N/A,Comm,Attack from the Deep,"While ""Umi"" is on the field(comma) this card is unaffected by Spell effects and cannot be targeted for attacks(comma) but does not prevent your opponent from attacking you directly.",Monster,SBAD-EN023
Yomi Ship,Effect Monster,WATER  ,Aqua/Effect,3,800,1400,N/A,SR,Attack from the Deep,If this card is destroyed by battle and sent to the GY: Destroy the monster that destroyed this card.,Monster,SBAD-EN024
Levia-Dragon - Daedalus,Effect Monster,WATER  ,Sea Serpent/Effect,7,2600,1500,N/A,UR,Attack from the Deep,"You can send 1 face-up ""Umi"" you control to the GY(comma) destroy all other cards on the field.",Monster,SBAD-EN025
