Name,Frame,Atribute,Type,Level,ATK,DEF,Icon,Rarity,Set,Text,Simple Frame,Number
Dark Magician Girl,Effect Monster,DARK  ,Spellcaster/Effect,6,2000,1700,N/A,COMM,Destiny Master,"Gains 300 ATK for every ""Dark Magician"" or ""Magician of Black Chaos"" in the GY.",Monster,SS01-ENA04
Legion the Fiend Jester,Effect Monster,DARK  ,Spellcaster/Effect,4,1300,1500,N/A,COMM,Destiny Master,"During your Main Phase(Comma) you can Tribute Summon 1 Spellcaster-Type monster in face-up Attack Position(Comma) in addition to your Normal Summon/Set. (You can only gain this effect once per turn.) If this card is sent from the field to the Graveyard: You can add 1 Spellcaster-Type Normal Monster from your Deck or GY to your hand. You can only use this effect of ""Legion the Fiend Jester"" once per turn.",Monster,SS01-ENA05
The Stern Mystic,Effect Monster,LIGHT  ,Spellcaster/Flip/Effect,4,1500,1200,N/A,COMM,Destiny Master,FLIP: All face-down cards on the field are turned face-up(Comma) and then returned to their original positions. No card effects are activated when cards are turned face-up,Monster,SS01-ENA06
Double Coston,Effect Monster,DARK  ,Zombie/Effect,4,1700,1650,N/A,COMM,Destiny Master,This card can be treated as 2 Tributes for the Tribute Summon of a DARK monster.,Monster,SS01-ENA07
Blue Dragon Summoner,Effect Monster,WIND  ,Spellcaster/Effect,4,1500,600,N/A,COMM,Destiny Master,If this card is sent from the field to the GY: You can add 1 Dragon(Comma) Warrior(Comma) or Spellcaster-Type Normal Monster from your Deck to your hand.,Monster,SS01-ENA08
Gravekeeper's Curse,Effect Monster,DARK  ,Spellcaster/Effect,3,800,800,N/A,COMM,Destiny Master,When this card is Summoned: Inflict 500 damage to your opponent.,Monster,SS01-ENB01
Gravekeeper's Spear Soldier,Effect Monster,DARK  ,Spellcaster/Effect,4,1500,1000,N/A,COMM,Destiny Master,If this card attacks a Defense Position monster(Comma) inflict piercing Battle Damage to your opponent.,Monster,SS01-ENB02
Gravekeeper's Vassal,Effect Monster,DARK  ,Spellcaster/Effect,3,700,500,N/A,COMM,Destiny Master,Any battle damage this card inflicts to your opponent is treated as effect damage instead.,Monster,SS01-ENB03
Gravekeeper's Chief,Effect Monster,DARK  ,Spellcaster/Effect,5,1900,1200,N/A,COMM,Destiny Master,"You can only control 1 face-up ""Gravekeeper's Chief"". Your Graveyard is unaffected by ""Necrovalley"". When this card is Tribute Summoned: You can target 1 ""Gravekeeper's"" monster in your Graveyard(Comma) Special Summon that target.",Monster,SS01-ENB04
Gravekeeper's Cannonholder,Effect Monster,DARK  ,Spellcaster/Effect,4,1400,1200,N/A,COMM,Destiny Master,"You can Tribute 1 ""Gravekeeper's"" monster(Comma) except ""Gravekeeper's Cannonholder""(Comma) inflict 700 damage to your opponent",Monster,SS01-ENB05
Gravekeeper's Assailant,Effect Monster,DARK  ,Spellcaster/Effect,4,1500,1500,N/A,COMM,Destiny Master,"When this card declares an attack while ""Necrovalley"" is on the field: You can target 1 face-up monster your opponent controls(Comma) change that target's battle position.",Monster,SS01-ENB06
Gravekeeper's Priestess,Effect Monster,DARK  ,Spellcaster/Effect,3,1000,1500,N/A,COMM,Destiny Master,"While there is no face-up Field Spell Card(Comma) the field is treated as ""Necrovalley"". All ""Gravekeeper's"" monsters gain 200 ATK and DEF.",Monster,SS01-ENB07
